"SK_ID_CURR","TARGET","CODE_GENDER","CNT_CHILDREN","NAME_FAMILY_STATUS","NAME_EDUCATION_TYPE","NAME_INCOME_TYPE","AMT_INCOME_TOTAL","AMT_CREDIT","AMT_ANNUITY","AMT_GOODS_PRICE","FLAG_OWN_CAR","FLAG_OWN_REALTY","NAME_HOUSING_TYPE","OCCUPATION_TYPE","DAYS_BIRTH","DAYS_EMPLOYED","DAYS_LAST_PHONE_CHANGE","AGE","YEARS_EMPLOYED","BUREAU_AMT_CREDIT_SUM","BUREAU_AMT_CREDIT_SUM_DEBT","PREV_AMT_CREDIT_MAX","PREV_AMT_ANNUITY_MAX","INS_AMT_PAYMENT_SUM","CC_AMT_BALANCE"
"100016","0",F,"0",Married,Secondary / secondary special,Working,"67500.0","80865.0","5881.5","67500.0",N,Y,House / apartment,Laborers,-13439,-2717,-2370.0,36.8,7.4,474984.0,63724.5,232200.0,14480.46,620981.82,""
"100017","0",M,"1",Married,Secondary / secondary special,Working,"225000.0","918468.0","28966.5","697500.0",Y,N,House / apartment,Drivers,-14086,-3028,-4.0,38.6,8.3,859770.0,0.0,198409.5,16967.295,405267.615,""
"100018","0",F,"0",Married,Secondary / secondary special,Working,"189000.0","773680.5","32778.0","679500.0",N,Y,House / apartment,Laborers,-14583,-203,-188.0,40.0,0.6,"","",536364.0,94906.035,1178751.42,""
"100019","0",M,"0",Single / not married,Secondary / secondary special,Working,"157500.0","299772.0","20160.0","247500.0",Y,Y,Rented apartment,Laborers,-8728,-1157,-925.0,23.9,3.2,720000.0,245470.14,104683.5,10518.615,165093.03,""
"100020","0",M,"0",Married,Secondary / secondary special,Working,"108000.0","509602.5","26149.5","387000.0",N,N,House / apartment,Drivers,-12931,-1317,-3.0,35.4,3.6,199485.0,123088.5,48325.5,8779.77,92780.46,""
"100021","0",F,"1",Married,Secondary / secondary special,Working,"81000.0","270000.0","13500.0","270000.0",N,Y,House / apartment,Laborers,-9776,-191,-2811.0,26.8,0.5,"","",675000.0,33750.0,208357.515,0.0
"100022","0",F,"0",Widow,Secondary / secondary special,Working,"112500.0","157500.0","7875.0","157500.0",N,Y,House / apartment,Laborers,-17718,-7804,-239.0,48.5,21.4,1057500.0,205276.5,103203.0,6765.975,47361.825000000004,""
"100023","0",F,"1",Single / not married,Higher education,State servant,"90000.0","544491.0","17563.5","454500.0",N,Y,House / apartment,Core staff,-11348,-2038,-1850.0,31.1,5.6,1645692.345,137038.5,239242.5,16822.44,493547.08499999996,0.0
"100024","0",M,"0",Married,Secondary / secondary special,Working,"135000.0","427500.0","21375.0","427500.0",Y,Y,House / apartment,Laborers,-18252,-4286,-296.0,50.0,11.7,"","","","","",""
"100025","0",F,"1",Married,Secondary / secondary special,Commercial associate,"202500.0","1132573.5","37561.5","927000.0",Y,Y,House / apartment,Sales staff,-14815,-1652,0.0,40.6,4.5,2452500.0,1886544.0,1042560.0,55678.095,1442496.33,""
"100026","0",F,"1",Married,Secondary / secondary special,Working,"450000.0","497520.0","32521.5","450000.0",N,N,Rented apartment,Sales staff,-11146,-4306,-468.0,30.5,11.8,5625000.0,3477814.38,744498.0,42778.845,954356.7599999999,""
"100027","0",F,"0",Married,Secondary / secondary special,Pensioner,"83250.0","239850.0","23850.0","225000.0",N,Y,House / apartment,"",-24827,"365243",-795.0,68.0,-1000.7,625297.5,376713.0,239850.0,28077.57,539424.36,""
"100029","0",M,"2",Married,Secondary / secondary special,Working,"135000.0","247500.0","12703.5","247500.0",Y,N,House / apartment,Drivers,-11286,-746,-4.0,30.9,2.0,7428033.0,3682287.0,126000.0,22891.68,135668.385,""
"100030","0",F,"0",Married,Secondary / secondary special,Working,"90000.0","225000.0","11074.5","225000.0",N,Y,House / apartment,Cleaning staff,-19334,-3494,0.0,53.0,9.6,643430.97,451642.5,49734.0,9035.685,70923.87,""
"100031","1",F,"0",Widow,Secondary / secondary special,Working,"112500.0","979992.0","27076.5","702000.0",N,Y,House / apartment,Cooking staff,-18724,-2628,-161.0,51.3,7.2,3970651.5,1125000.0,"","","",""
"100032","0",M,"1",Married,Secondary / secondary special,Working,"112500.0","327024.0","23827.5","270000.0",N,Y,House / apartment,Laborers,-15948,-1234,-2.0,43.7,3.4,1271160.0,0.0,42255.0,7910.145,47463.03,""
"100033","0",M,"0",Single / not married,Higher education,State servant,"270000.0","790830.0","57676.5","675000.0",Y,Y,House / apartment,"",-9994,-1796,-849.0,27.4,4.9,675000.0,0.0,53329.5,5542.92,69411.645,""
"100034","0",M,"0",Single / not married,Higher education,Working,"90000.0","180000.0","9000.0","180000.0",N,Y,With parents,Laborers,-10341,-1010,-599.0,28.3,2.8,"","",115083.0,22430.43,311355.765,""
"100035","0",F,"0",Civil marriage,Secondary / secondary special,Commercial associate,"292500.0","665892.0","24592.5","477000.0",N,Y,House / apartment,"",-15280,-2668,-1634.0,41.9,7.3,3545085.42,2054371.5,1260000.0,37279.665,1979849.025,""
"100036","0",F,"0",Civil marriage,Secondary / secondary special,Working,"112500.0","512064.0","25033.5","360000.0",N,Y,House / apartment,Private service staff,-11144,-1104,-397.0,30.5,3.0,94959.0,8339.355,221247.0,13290.3,78613.605,0.0
"100037","0",F,"0",Civil marriage,Secondary / secondary special,Working,"90000.0","199008.0","20893.5","180000.0",N,N,House / apartment,Laborers,-12974,-4404,-2766.0,35.5,12.1,592132.5,0.0,188640.0,25595.82,422786.52,""
"100039","0",M,"1",Married,Secondary / secondary special,Commercial associate,"360000.0","733315.5","39069.0","679500.0",Y,N,House / apartment,Drivers,-11694,-2060,-697.0,32.0,5.6,4489092.0,2438748.0,1487214.0,52513.515,2305501.785,""
"100040","0",F,"0",Married,Higher education,State servant,"135000.0","1125000.0","32895.0","1125000.0",N,Y,House / apartment,Core staff,-15997,-4585,-3019.0,43.8,12.6,"","",367200.0,18984.24,498400.875,""
"100041","0",F,"0",Married,Higher education,Working,"112500.0","450000.0","44509.5","450000.0",N,N,House / apartment,Sales staff,-12158,-1275,-1285.0,33.3,3.5,822305.16,0.0,64278.0,7297.515,107185.815,""
"100043","0",F,"2",Married,Secondary / secondary special,Commercial associate,"198000.0","641173.5","23157.0","553500.0",N,Y,House / apartment,Private service staff,-17199,-768,-2411.0,47.1,2.1,333720.0,0.0,1575000.0,83916.0,1251128.07,208572.6
"100044","0",M,"0",Married,Secondary / secondary special,Working,"121500.0","454500.0","15151.5","454500.0",N,Y,House / apartment,Drivers,-21077,-1288,-1541.0,57.7,3.5,2329694.46,1147764.6,652500.0,29545.2,1916203.995,""
"100045","0",F,"0",Married,Secondary / secondary special,Pensioner,"99000.0","247275.0","17338.5","225000.0",N,Y,House / apartment,"",-23920,"365243",0.0,65.5,-1000.7,438054.39,89351.46,1271929.5,50575.23,2049033.96,""
"100046","0",M,"0",Married,Higher education,Working,"180000.0","540000.0","27000.0","540000.0",Y,Y,House / apartment,Managers,-16126,-1761,-540.0,44.2,4.8,12637260,0.0,555723.0,29053.215,482640.795,""
"100047","1",M,"0",Married,Secondary / secondary special,Commercial associate,"202500.0","1193580.0","35028.0","855000.0",N,Y,House / apartment,Laborers,-17482,-1262,-1075.0,47.9,3.5,9527634.0,3220456.5,744498.0,31674.87,268547.58,0.0
"100048","0",F,"0",Married,Secondary / secondary special,Working,"202500.0","604152.0","29196.0","540000.0",N,Y,House / apartment,Laborers,-16971,-475,-458.0,46.5,1.3,22905.0,0.0,856431.0,57466.53,1898737.2449999999,59810.55677419355
"100049","1",F,"0",Civil marriage,Secondary / secondary special,Working,"135000.0","288873.0","16258.5","238500.0",N,N,House / apartment,Sales staff,-13384,-3597,-1480.0,36.7,9.9,851747.85,552442.5,90000.0,7801.155,277419.15,48183.29653846154
"100050","0",F,"0",Single / not married,Higher education,Pensioner,"108000.0","746280.0","42970.5","675000.0",N,Y,House / apartment,"",-23548,"365243",-491.0,64.5,-1000.7,742741.38,0.0,180000.0,9000.0,164519.145,0.0
"100051","0",M,"0",Civil marriage,Secondary / secondary special,Working,"202500.0","661702.5","48280.5","598500.0",N,Y,House / apartment,"",-9827,-758,-556.0,26.9,2.1,"","",152068.5,6887.16,123968.88,""
"100052","0",F,"1",Civil marriage,Secondary / secondary special,Working,"90000.0","180000.0","9000.0","180000.0",N,Y,House / apartment,Sales staff,-7974,-895,-462.0,21.8,2.5,"","",30663.0,6304.905,62647.604999999996,""
"100053","0",F,"0",Single / not married,Secondary / secondary special,Pensioner,"202500.0","305221.5","17649.0","252000.0",N,Y,House / apartment,"",-20373,"365243",-649.0,55.8,-1000.7,675508.5,0.0,585000.0,29250.0,304142.53500000003,""
"100054","0",F,"0",Married,Secondary / secondary special,Working,"99000.0","260640.0","26838.0","225000.0",N,Y,House / apartment,Medicine staff,-20121,-5332,-1247.0,55.1,14.6,104692.5,0.0,95310.0,10349.91,381876.255,""
"100055","0",F,"0",Married,Secondary / secondary special,State servant,"130500.0","1350000.0","37255.5","1350000.0",N,N,House / apartment,Managers,-19727,-4411,-784.0,54.0,12.1,2826732.015,1244438.055,108765.0,11150.595,173616.21,""
"100056","0",M,"0",Married,Secondary / secondary special,Working,"360000.0","1506816.0","49927.5","1350000.0",Y,Y,House / apartment,Laborers,-18264,-9523,-1498.0,50.0,26.1,"","",506038.5,21678.705,1656709.965,""
"100058","0",F,"0",Married,Higher education,State servant,"54000.0","135000.0","6750.0","135000.0",N,Y,House / apartment,Core staff,-12406,-1176,0.0,34.0,3.2,810000.0,258597.0,"","","",""
"100059","0",M,"1",Married,Higher education,Commercial associate,"540000.0","675000.0","34596.0","675000.0",Y,Y,House / apartment,Managers,-18632,-6977,-1285.0,51.0,19.1,2157469.2,980784.0,1305000.0,145794.6,1308560.94,0.0
"100060","0",M,"0",Married,Secondary / secondary special,Working,"76500.0","454500.0","14661.0","454500.0",Y,N,House / apartment,"",-12282,-778,-466.0,33.6,2.1,274641.83999999997,0.0,180000.0,12177.0,308546.55,""
"100061","0",F,"2",Married,Higher education,Commercial associate,"225000.0","314055.0","16164.0","238500.0",N,Y,House / apartment,Core staff,-10473,-1392,-570.0,28.7,3.8,37741.5,0.0,830637.0,49219.74,3080682.9,""
"100062","0",M,"0",Married,Secondary / secondary special,Pensioner,"81000.0","675000.0","32472.0","675000.0",Y,N,House / apartment,"",-18611,"365243",-462.0,51.0,-1000.7,1081626.12,0.0,900000.0,66663.9,1041291.6749999999,""
"100063","0",F,"0",Married,Higher education,Working,"180000.0","837427.5","45558.0","666000.0",N,Y,House / apartment,Managers,-12955,-4106,-1547.0,35.5,11.2,5006331.0,1651888.845,512370.0,29543.85,1189805.805,""
"100064","0",F,"0",Single / not married,Secondary / secondary special,Pensioner,"67500.0","298728.0","15381.0","202500.0",N,N,Municipal apartment,"",-21621,"365243",0.0,59.2,-1000.7,162000.0,95413.5,47605.5,2144.61,51417.675,""
"100068","0",M,"0",Married,Secondary / secondary special,Working,"81000.0","247500.0","12375.0","247500.0",N,Y,House / apartment,Security staff,-18248,-2351,-167.0,50.0,6.4,1151753.94,799038.0,81742.5,7761.465,38807.325,""
"100069","0",M,"1",Separated,Secondary / secondary special,Working,"360000.0","640458.0","27265.5","517500.0",Y,Y,House / apartment,Laborers,-14186,-1743,-112.0,38.9,4.8,6249325.5,3152259.0,317925.0,30174.435,1028562.03,""
"100070","0",M,"0",Widow,Higher education,Working,"540000.0","1227901.5","46899.0","1129500.0",Y,Y,House / apartment,Managers,-20544,-2091,-1377.0,56.3,5.7,8758800.0,2249635.5,136876.5,13879.26,328702.72500000003,""
"100071","0",F,"0",Married,Secondary / secondary special,Commercial associate,"180000.0","1663987.5","86989.5","1588500.0",N,Y,House / apartment,Accountants,-20121,-2446,-1572.0,55.1,6.7,598059.0,0.0,617521.5,60289.425,963748.8,""
"100072","0",M,"0",Single / not married,Incomplete higher,Working,"180000.0","1080000.0","44118.0","1080000.0",N,N,With parents,Sales staff,-7907,-1324,-725.0,21.7,3.6,314716.5,0.0,1467000.0,76091.76,304951.59,""
"100073","0",M,"0",Civil marriage,Higher education,Pensioner,"324000.0","1130760.0","40189.5","810000.0",Y,Y,House / apartment,"",-22843,"365243",-2385.0,62.6,-1000.7,2176983.0,1537123.5,1110141.0,55973.295,2737472.895,""
"100075","0",F,"0",Single / not married,Higher education,Working,"112500.0","95940.0","10462.5","90000.0",N,N,House / apartment,"",-12240,-3720,-280.0,33.5,10.2,991566.0,547785.0,225000.0,40575.24,926236.575,163587.054375
"100076","0",M,"0",Married,Secondary / secondary special,Commercial associate,"180000.0","315000.0","9679.5","315000.0",Y,N,House / apartment,Drivers,-13866,-2546,-3.0,38.0,7.0,3296057.58,2610859.995,"","","",""
"100077","0",M,"0",Single / not married,Secondary / secondary special,Commercial associate,"180000.0","1256400.0","40657.5","900000.0",N,Y,House / apartment,Core staff,-12049,-579,-295.0,33.0,1.6,687456.0,257926.5,1344406.5,48913.245,351382.90499999997,0.0
"100078","0",F,"0",Married,Higher education,State servant,"180000.0","1035000.0","43983.0","1035000.0",Y,Y,House / apartment,Core staff,-19550,-4856,-1594.0,53.6,13.3,1143000.0,537165.0,900000.0,38263.5,2509641.675,""
"100079","0",M,"0",Separated,Secondary / secondary special,Working,"225000.0","270000.0","13500.0","270000.0",N,Y,Municipal apartment,Laborers,-15359,-114,-662.0,42.1,0.3,60781.5,0.0,110146.5,13072.185,94359.555,""
"100080","0",F,"1",Civil marriage,Secondary / secondary special,Commercial associate,"157500.0","450000.0","22500.0","450000.0",N,N,House / apartment,Sales staff,-11956,-3154,-1711.0,32.8,8.6,30150.0,0.0,666081.0,31778.73,1168353.9449999998,""
"100081","0",M,"0",Civil marriage,Secondary / secondary special,Commercial associate,"180000.0","450000.0","21109.5","450000.0",Y,N,House / apartment,Laborers,-10848,-121,-2519.0,29.7,0.3,"","",45544.5,6075.63,60734.115,""
"100082","0",M,"2",Married,Higher education,Commercial associate,"180000.0","450000.0","21109.5","450000.0",N,N,House / apartment,Laborers,-12009,-2844,-1003.0,32.9,7.8,10393996.41,2384752.41,1280794.5,38833.695,787106.115,16901.607272727273
"100083","0",M,"0",Married,Secondary / secondary special,Working,"103500.0","573628.5","24435.0","463500.0",Y,Y,House / apartment,Laborers,-15406,-892,-2053.0,42.2,2.4,3237880.5,1756003.5,178290.0,11915.1,346218.795,0.0
"100084","0",M,"2",Separated,Secondary / secondary special,Working,"225000.0","495351.0","26140.5","459000.0",N,Y,House / apartment,Laborers,-14860,-1156,-1475.0,40.7,3.2,98100.0,0.0,653328.0,18097.02,310082.445,""
"100085","0",M,"1",Married,Secondary / secondary special,Working,"157500.0","755190.0","28894.5","675000.0",N,Y,House / apartment,Drivers,-11187,-2224,-1175.0,30.6,6.1,1427197.5,697500.0,148365.0,13608.045,27297.54,""
"100086","0",F,"1",Widow,Higher education,Commercial associate,"135000.0","675000.0","21775.5","675000.0",N,Y,House / apartment,Laborers,-14264,-2492,-1597.0,39.1,6.8,1077934.95,404028.0,675000.0,21775.5,308169.09,42137.62714285714
"100087","0",F,"1",Married,Secondary / secondary special,Working,"202500.0","1288350.0","37800.0","1125000.0",N,Y,House / apartment,Cooking staff,-17542,-2011,-1230.0,48.1,5.5,677005.515,285748.515,188685.0,18734.805,697661.46,""
"100088","0",F,"0",Married,Higher education,Commercial associate,"112500.0","135000.0","6750.0","135000.0",N,N,House / apartment,"",-19467,-4066,-1537.0,53.3,11.1,1777500.0,403969.5,614844.0,25546.77,485965.62,""
"100089","0",M,"0",Civil marriage,Secondary / secondary special,Working,"135000.0","337761.0","15781.5","256500.0",N,Y,House / apartment,Laborers,-9666,-2811,-92.0,26.5,7.7,116545.5,0.0,512064.0,23140.62,136524.15,""
"100093","0",F,"1",Married,Secondary / secondary special,Working,"94500.0","585000.0","28273.5","585000.0",N,Y,House / apartment,Core staff,-18253,-721,0.0,50.0,2.0,90000.0,0.0,1288350.0,35429.625,439989.525,""
"100094","0",F,"0",Single / not married,Higher education,Pensioner,"108000.0","113760.0","5301.0","90000.0",N,Y,House / apartment,"",-22935,"365243",-260.0,62.8,-1000.7,855000.0,611335.575,69763.5,4966.47,29798.82,""
"100095","0",F,"2",Married,Secondary / secondary special,Working,"67500.0","135000.0","6750.0","135000.0",N,Y,House / apartment,Sales staff,-18693,-1434,-1040.0,51.2,3.9,"","",52911.0,5290.695,52010.595,""
"100096","1",F,"0",Married,Secondary / secondary special,Pensioner,"81000.0","252000.0","14593.5","252000.0",N,Y,House / apartment,"",-24794,"365243",0.0,67.9,-1000.7,65610.0,0.0,"","","",""
"100097","0",M,"0",Married,Secondary / secondary special,Working,"157500.0","760225.5","30280.5","679500.0",Y,Y,House / apartment,"",-17527,-2442,-371.0,48.0,6.7,319293.18,86526.0,108000.0,10080.72,188150.12999999998,""
"100098","0",M,"0",Civil marriage,Secondary / secondary special,Working,"225000.0","270000.0","13500.0","270000.0",Y,N,House / apartment,Drivers,-17390,-924,-617.0,47.6,2.5,"","",361521.0,12985.83,269519.94,""
"100099","0",F,"0",Separated,Secondary / secondary special,Pensioner,"360000.0","733315.5","41076.0","679500.0",N,Y,House / apartment,"",-23032,"365243",0.0,63.1,-1000.7,2692174.5,185535.0,1255500.0,66893.04,287820.09,""
"100100","0",M,"2",Married,Higher education,Working,"202500.0","796396.5","38443.5","643500.0",Y,Y,House / apartment,Managers,-15909,-1094,-1876.0,43.6,3.0,3163743.45,0.0,594585.0,35157.825,1770926.085,40102.36085106383
"100101","0",F,"0",Single / not married,Higher education,State servant,"202500.0","343377.0","22072.5","283500.0",Y,Y,House / apartment,High skill tech staff,-18138,-969,-1585.0,49.7,2.7,"","",360000.0,33952.005,1698619.5,183857.18464285714
"100102","0",F,"1",Single / not married,Secondary / secondary special,Working,"126000.0","327024.0","10264.5","270000.0",N,N,House / apartment,Laborers,-14321,-192,-2.0,39.2,0.5,1473232.5,694314.0,"","","",""
"100103","0",F,"0",Married,Secondary / secondary special,Working,"72000.0","450000.0","16965.0","450000.0",N,Y,House / apartment,"",-21112,-1694,0.0,57.8,4.6,445834.35,12307.5,180000.0,9000.0,56451.015,""
"100104","0",F,"0",Married,Secondary / secondary special,Working,"90000.0","547344.0","30690.0","472500.0",N,Y,House / apartment,Waiters/barmen staff,-18556,-862,-2591.0,50.8,2.4,765000.0,0.0,26554.5,2950.2,29444.13,""
"100105","0",F,"0",Married,Secondary / secondary special,Working,"193500.0","225000.0","23755.5","225000.0",N,Y,House / apartment,Managers,-19810,-8862,-1733.0,54.3,24.3,1663635.42,18774.0,232425.0,42536.115,1497246.885,""
"100108","0",F,"3",Married,Secondary / secondary special,Working,"171000.0","545040.0","31288.5","450000.0",N,Y,House / apartment,Sales staff,-12780,-1415,-546.0,35.0,3.9,648661.5,40878.0,122895.0,25269.66,151613.46,""
"100110","0",M,"3",Married,Secondary / secondary special,Commercial associate,"135000.0","373140.0","25065.0","337500.0",Y,Y,House / apartment,Laborers,-10744,-741,0.0,29.4,2.0,65511.0,52820.595,158188.5,10430.145,98709.075,0.0
"100111","0",F,"1",Married,Secondary / secondary special,Commercial associate,"112500.0","862560.0","27954.0","720000.0",Y,N,With parents,Sales staff,-10485,-1249,-1234.0,28.7,3.4,2505821.715,104072.31,144513.0,14997.015,501427.755,""
"100112","1",M,"0",Single / not married,Incomplete higher,Commercial associate,"315000.0","953460.0","64107.0","900000.0",Y,Y,With parents,"",-10199,-2015,-591.0,27.9,5.5,130500.0,85648.5,180000.0,20723.58,382163.49,0.0
"100113","0",M,"0",Single / not married,Secondary / secondary special,Working,"76500.0","135000.0","6696.0","135000.0",Y,N,House / apartment,Low-skill Laborers,-15137,-7980,-1981.0,41.5,21.9,610722.0,401368.5,90000.0,5755.725,60215.265,""
"100114","0",F,"0",Single / not married,Higher education,Commercial associate,"135000.0","284400.0","22599.0","225000.0",N,Y,House / apartment,Laborers,-10734,-693,-227.0,29.4,1.9,233777.88,45634.5,89203.5,8326.26,58283.82,0.0
"100115","0",F,"0",Married,Secondary / secondary special,Working,"90000.0","315000.0","14683.5","315000.0",N,N,House / apartment,"",-15371,-367,-40.0,42.1,1.0,18513.0,0.0,135000.0,6750.0,40895.685,46570.5
"100116","0",F,"0",Married,Higher education,Working,"243000.0","900000.0","32017.5","900000.0",N,Y,House / apartment,Core staff,-14751,-6737,-1083.0,40.4,18.5,7638393.6,2430413.8200000003,843763.5,40181.22,2684209.4099999997,178584.45954545456
"100118","0",F,"0",Widow,Secondary / secondary special,Pensioner,"90000.0","675000.0","26541.0","675000.0",N,Y,House / apartment,"",-22471,"365243",0.0,61.6,-1000.7,"","",202297.5,22605.75,378937.44,""
"100119","0",F,"0",Married,Secondary / secondary special,Working,"54000.0","180000.0","9000.0","180000.0",N,Y,House / apartment,Medicine staff,-11142,-2419,-149.0,30.5,6.6,856227.69,354735.40499999997,36715.5,7679.925,30719.7,""
"100120","0",F,"0",Married,Higher education,Working,"135000.0","781920.0","28215.0","675000.0",N,N,House / apartment,Core staff,-9650,-2953,-17.0,26.4,8.1,368910.0,108837.0,0.0,"","",""
"100121","0",M,"0",Married,Secondary / secondary special,Working,"126000.0","787131.0","26145.0","679500.0",N,Y,With parents,Low-skill Laborers,-16798,-669,-319.0,46.0,1.8,70571.115,0.0,72886.5,7362.99,127378.215,""
"100122","0",F,"1",Married,Higher education,Commercial associate,"76500.0","808650.0","26217.0","675000.0",N,N,With parents,Core staff,-10954,-2469,-663.0,30.0,6.8,630000.0,0.0,1668555.0,70963.65,199577.92500000002,""
"100123","0",F,"0",Widow,Secondary / secondary special,Working,"103500.0","675000.0","19737.0","675000.0",N,N,House / apartment,Security staff,-23719,-8466,-1689.0,65.0,23.2,1223773.1099999999,527287.4550000001,373599.0,20035.845,720937.89,""
"100124","0",M,"0",Widow,Secondary / secondary special,Pensioner,"225000.0","448272.0","28647.0","396000.0",N,Y,House / apartment,"",-24051,"365243",-1080.0,65.9,-1000.7,742500.0,0.0,450886.5,21822.66,893982.735,""
"100125","0",F,"0",Married,Secondary / secondary special,Pensioner,"126000.0","263686.5","26208.0","238500.0",N,N,House / apartment,"",-21613,"365243",-1165.0,59.2,-1000.7,243499.5,8559.0,349096.5,24483.465,716510.655,""
"100126","0",M,"2",Married,Secondary / secondary special,Working,"135000.0","180000.0","9000.0","180000.0",N,Y,House / apartment,"",-12900,-782,-1091.0,35.3,2.1,1041750.0,685741.5,172458.0,30956.175,402154.425,""
"100127","0",M,"0",Married,Secondary / secondary special,Pensioner,"112500.0","52128.0","5341.5","45000.0",N,Y,House / apartment,"",-21341,"365243",-2279.0,58.5,-1000.7,"","",585000.0,29250.0,115735.68000000001,""
"100129","0",F,"1",Married,Higher education,Working,"85500.0","135000.0","6750.0","135000.0",Y,Y,House / apartment,"",-9415,-225,0.0,25.8,0.6,10327500,10048887,"","","",""
"100130","1",F,"1",Separated,Incomplete higher,Commercial associate,"157500.0","723996.0","30802.5","585000.0",N,Y,House / apartment,Sales staff,-10526,-267,-56.0,28.8,0.7,225000.0,156483.0,130671.0,12520.71,221725.8,""
"100131","0",F,"0",Single / not married,Secondary / secondary special,Commercial associate,"270000.0","891072.0","45625.5","720000.0",N,Y,House / apartment,Realty agents,-13830,-1169,-734.0,37.9,3.2,679500.0,678262.5,585000.0,29250.0,1173018.06,239297.514375
"100132","0",F,"0",Widow,Secondary / secondary special,Commercial associate,"202500.0","1136439.0","73611.0","1089000.0",N,Y,House / apartment,Cleaning staff,-23656,-968,-905.0,64.8,2.7,675000.0,95697.0,331416.0,44610.48,625903.875,""
"100133","0",F,"0",Civil marriage,Secondary / secondary special,Working,"67500.0","384048.0","18810.0","270000.0",N,N,With parents,Core staff,-9207,-1043,-591.0,25.2,2.9,"","",87502.5,11624.085,208336.32,""
"100134","0",F,"0",Married,Secondary / secondary special,Commercial associate,"202500.0","180000.0","9000.0","180000.0",N,N,House / apartment,Secretaries,-10085,-465,0.0,27.6,1.3,1020408.21,2970.99,"","","",""
"100135","0",M,"0",Married,Secondary / secondary special,Commercial associate,"135000.0","391194.0","26271.0","319500.0",N,Y,House / apartment,Laborers,-19829,-215,-1209.0,54.3,0.6,251019.0,181584.0,530698.5,37800.9,1036611.45,0.0
"100136","0",M,"1",Married,Secondary / secondary special,State servant,"157500.0","1571931.0","49356.0","1435500.0",Y,N,House / apartment,Laborers,-15949,-239,-2397.0,43.7,0.7,2313877.5,2313877.5,1285569.0,65437.425,1632433.995,""
